Hydraulic leak / Lubrication system faults,Replaced leaking central lubrication hose,hydraulic/ lubrication,fault/ leak,replace,lubrication/ hose,,Sinico,N,4/21/16,,4/22/16,,J Con,JC,Jon Cousineau,,hydraulic/ hose,,leak/ fault,replace,,
St#2 bearings confirmed as worn,Spindle bearings replaced,,,replace,spindle_bearing/ spindle/ bearing,,H3,N,4/21/16,,4/23/16,,Gio,AP,Anthony Paolillo,,station/ spindle/ bearing,,worn,replace,,
Regulating wheel drive worn,Replaced Universal/ pulley shafts/ and bushings,,,,,,RM227,N,4/22/16,,4/23/16,,J Clark,DK,Denis Kusiak,,shaft/ wheel/ pulley,,worn,replace,drive/ regulating,
HP coolant pump INOP -Plugin burned,Replaced plugin connectors and burned wire,,,,,,H7,Y,4/23/16,,4/23/16,,Bruce,JPM,John Murray,,coolant/ pump/ wire/ connector,,inoperable,replace,hp,
Request to relocate Tri Mist receptical from side of machine to top -Keeps getting hit by Hydro Operators,Completed,tri_mist_receptical,move/ adjust,complete,operator,,NM2,N,4/23/16,,5/17/16,,Norm,JC,Jon Cousineau,,machine/ operator,,,complete/ request,,
Station #1 out of alignment -Part jam,Aligned station and adjusted air flow to centering cylinder,,,,,,AIM 05,Y,4/25/16,,4/25/16,,Maina,SA,Steve Andreozzi,,station/ air/ flow/ cylinder,,jam,adjust/ align,,
Spindles turning off at start,Drill detection shutting machine down as it should -Tip of detection wand missing OPERATOR LEVEL,,,,,,H10,Y,4/25/16,,4/25/16,,Gio,ML,Marcel Lefebvre,,spindle/ machine/ operator/ drill,,missing,,level/ detection/ start,
St#12 not firing,Valve ON/OFF flow control loose -Operator Level,,,,,,H19,Y,4/25/16,,4/25/16,,Norm,JPM,John Murray,,station/ valve/ operator/ flow,,loose,,control/ level/ 12/ firing,
CNC unit not coming ON,Replaced motor with VFD,,,,,,H23,Y,4/25/16,,4/25/16,,Russ,ML,Marcel Lefebvre,,unit/ motor/ cnc,,,replace,,
Power pack filter,Filter replaced,,,,,,H31,N,4/25/16,,4/25/16,,J Con,JPM,John Murray,,filter,,,replace,power/ pack,
Safety switch ST#6 NOK,Quick change type -Button replaced,,,,,,H34,Y,4/25/16,,4/25/16,,Bruce,JPM,John Murray,,station/ safety,,broken,replace,switch/ change,
Coolant pump motor fan NOK,Replaced,,,replace,,,H37,Y,4/25/16,,4/25/16,,Alex,JPM,John Murray,,motor/ coolant/ pump/ fan,,broken,replace,,
Chip conveyor jammed,Removed conveyor to clear chip jam,chip_conveyor/ conveyor,jam,clear,jam/ chip,,H4,Y,4/25/16,,4/25/16,,Sam Jett,SA,Steve Andreozzi,,conveyor/ chip,,jam,remove/ clear,,
Drive fault -Drive link OFF,Replaced battery and performed NC reset,,,,,,I3,Y,4/25/16,,4/25/16,,Jose H,JC,Jon Cousineau,,,,fault,replace/ reset,drive,
Chip conveyor motor overload faults,Reset overload -4/26 Chip conveyor INOP reported. Motor hot,chip_conveyor/ conveyor/ motor,fault/ overload_fault,reset,overload,,I4,Y,4/25/16,,4/25/16,,Sam Jett,SA,Steve Andreozzi,,motor/ conveyor/ chip,,inoperable/ fault/ overload,reset/ report,hot/ 26,
Servo drive not ready,Replaced ER module and LT module -Was ok but faulted again at 1400,,,,,,SC9,Y,4/25/16,,4/25/16,,Steve S,DK,Denis Kusiak,,module/ servo,,fault,replace/ ok,drive/ ready,
Vacuum pump for clean room INOP,New pump ordered/ arrived/ and inventoried / Steve repaired pump on 4/25 -JPM installed repaired pump before new arrived,,,,,,C 46,Y,4/25/16,,4/26/16,,J Clark,SA / JPM,Steve Andreozzi/ John Murray,,pump/ steve/ person/ inventory,,inoperable,repair/ install/ clean/ order,new,
Inverter leaking Hydraulic,Replaced seals in inverter,inverter/ hydraulic,leak,replace,seal/ inverter,,H3,Y,4/25/16,,4/26/16,,Bruce,JPM,John Murray,,hydraulic/ inverter,,leak,replace,seal,
A/C unit ducting through ceiling requested,Completed,,,complete,,,Eng,,4/25/16,,5/6/16,,John A,AP,Anthony Paolillo,,unit,,,complete/ request,,
Part jam at loader,Station #1 nest out of position -Realigned,,,,,,AIM 03,,4/26/16,,4/26/16,,,SA,Steve Andreozzi,,station/ loader/ position,,jam,align,,
Parts vibrating and moving in Station #1,Aligned station #1,,,,,,AIM 04,,4/26/16,,4/26/16,,,SA,Steve Andreozzi,,station/ part,,,align,,
Loader not finishing cycle,Adjusted sensor,,,,,,AIM 10,,4/26/16,,4/26/16,,,SA,Steve Andreozzi,,sensor/ loader,,,adjust,cycle,
Parts jamming in track at St#10,Replaced worn jaws,,,,,,AIM 11,,4/26/16,,4/26/16,,,SA,Steve Andreozzi,,station/ part,,worn,replace,10/ track,
No Power to machine,Pendanr cable twisted -Repaired #706 and #602 wires,machine,no_power,,,,H28,Y,4/26/16,,4/26/16,,Bruce,ML / JPM,Marcel Lefebvre/ John Murray,,machine/ cable/ pendant,,,repair,power,
Oil leak / Bar not feeding alarm,Bar not feeding alarm caused by bar stuck in stock clamp / Coolant line feeding table ruptured -New hose mfg at Haldeman and installed,oil/ bar_feeder/ coolant_line/ bar,leak/ alarm/ stuck/ rupture,install,hose,,H39,Y,4/26/16,,4/26/16,,Bruce,AP,Anthony Paolillo,,coolant/ table/ clamp/ oil/ hose/ line/ stock,,leak/ alarm/ stuck/ rupture,install,bar/ new/ feeding,
Vogel leak at pressure gage,Thread sealer pn gage threading,,,,,,H8,N,4/26/16,,4/26/16,,Russ,JPM,John Murray,,pressure/ vogel/ thread,,leak,,,
Chip conveyor motor hot -tripping breaker,Chip conveyor jammed -clutch too tight causing overtemp fault. Cleared chip jam and reset breaker,chip_conveyor/ conveyor/ breaker/ motor/ clutch,trip/ hot/ jam/ tight,clear/ reset,jam/ breaker,,I4,Y,4/26/16,,4/26/16,,Bruce,JC,Jon Cousineau,,motor/ conveyor/ chip/ clutch/ breaker,trip,fault/ jam/ trip,reset/ clear,hot,causing
Table index OT faults -Heavy leak,Pulled base and removed table index valve for rebuild. Valve bore scored badly -new valve purchased and installed,table_index/ valve_bore,o/t_fault/ leak/ major/ score,rebuild,table_index_valve,,H29,Y,4/26/16,,4/28/16,,Russ,ML / AP,Marcel Lefebvre/ Anthony Paolillo,,valve/ table/ base/ index,,broken/ leak/ fault,remove/ install/ rebuild,new,
Heavy grinding noise from regulating wheel gearbox,Removed VSD and gearbox to replace shaft/ worm gear/ bearings/ sheave.,,,,,,CG231,Y,4/26/16,,5/4/16,,J Clark,MLW /DK,Denis Kusiak/ Mike Lowell,,bearing/ shaft/ wheel/ gear,,noise,replace/ remove,regulating,
Side B turret full of chips -Leaking,Removed and cleaned while offlinf (Side B Ball Screw),,,,,,I3,N,4/26/16,,5/6/16,,Jose H,JC,Jon Cousineau,,chip/ screw/ turret/ ball,,leak,remove/ clean,,
Spindle stops while in grind cycle,Replaced bad coupling,,,,,,Ewag,Y,4/27/16,,4/27/16,,Juan,DK,Denis Kusiak,,spindle,,broken,replace,stop/ cycle/ grind,
St#5 brushing unit free spinning -Loose brake,Bad clutch -replaced motor,st_5/ brush_unit/ brake/ clutch,loose/ out_of_adjustment/ location/ broken,replace,motor,,H20,N,4/27/16,,4/27/16,,Norm,JPM,John Murray,,station/ unit/ motor/ clutch/ brush/ brake,,broken/ loose,replace,,
Reported as Limit Switch Failed,Actual issue is bar stuck in stock clamp -Reset button pressed!!,limit_switch/ bar,fault/ stuck,reset,button,,H39,Y,4/27/16,,4/27/16,,Gio,JPM / AP,John Murray/ Anthony Paolillo,,clamp/ stock,,issue/ stuck/ failure,reset/ report,bar/ switch/ limit,
Chip conveyor jamming causing motor overtemp breaker trip,Multiple alarms arose from this incident. John Pyers and Doug called in to repair. Hard drive and control panel replaced. Multiple drives and ER module swapped with I3. Failed again with Speed and manipulator faults on 5/11.,chip_conveyor/ conveyor/ motor/ breaker,jam/ hot/ trip/ alarm,replace/ swap,control_panel/ hard_drive/ drive/ er_module,,I4,Y,4/27/16,,,,Jose H,JC / DK Doug / JP,Denis Kusiak/ Jon Cousineau/ Doug Patrick,,motor/ conveyor/ chip/ breaker/ module/ speed/ panel,,fault/ alarm/ failure,replace/ repair/ swap,drive/ control/ 11,multiple/ causing
Leak at filter housing on Power Pack,Bad seal on housing canister replaced,,,,,,H15,N,4/28/16,,4/28/16,,JPG,AP,Anthony Paolillo,,filter/ housing,,broken/ leak,replace,power/ seal/ pack,
Bar chain broken,Chain OK -Came of rear sproket. Reset,bar_chain,broken,reset,chain ,,H32,Y,4/28/16,,4/28/16,,J Con,AP,Anthony Paolillo,,chain/ rear,,broken,reset/ ok,bar,
Bar not feeding,Prox chord attached to loading valve sensor -Not attached (??),bar,will_not_feed,attach,proximity_cable,,H39,Y,4/28/16,,4/28/16,,Gio,AP,Anthony Paolillo,,valve/ sensor/ prox,,,,bar/ load/ feeding,
No pwer to pendant,Replaced L-3 fuse in overhead bus plug,,,,,,H6,Y,4/28/16,,4/28/16,,Gio,JPM,John Murray,,fuse/ pendant,,,replace,power/ plug,
Need new drill detector wand,Seriously??,,,,,,H31,N,4/28/16,,5/3/16,,Russ,ML,Marcel Lefebvre,,drill/ detector,,,need,new,
St#4 valve varying time cycle,No Issue. Russ had previously reset the valve by opening fully for a cycle then adjusting,,,,,,H14,N,4/28/16,,,,Russ,,,,station/ valve/ person,,issue,adjust/ reset,cycle/ time,
ST#2 spindle bearings worn,Bearings replaced in back end section only -,,,,,,H3,Y,4/29/16,,4/29/16,,JPG,JPM,John Murray,,station/ spindle/ bearing,,worn,replace,end,
St#3 tool detection laser NOK,Adjusted sensor frequency AGAIN,,,,,,H31,Y,4/29/16,,4/29/16,,Russ,JPM,John Murray,,station/ sensor/ tool/ laser,,broken,adjust,detection,
Reinforce railing at mag filter,Added two bolts to hold down plate on conveyor box,railing/ mag_filter,weak,add,bolt,,H39,N,4/29/16,,4/29/16,,JPG,SA,Steve Andreozzi,,conveyor/ filter/ plate/ bolt/ box,,,add,,
Pusher dog went under magazine tray,Removed tray and reset loader,,,,,,H39,Y,4/29/16,,4/29/16,,JPG,JPM / AP,John Murray/ Anthony Paolillo,,loader/ pusher/ dog,,,remove/ reset,,
Cannot adjust speed for regulating wheel,Adjusting wheel shaft pin obstructing rotation -Ground down,,,,,,RM222,Y,4/29/16,,4/29/16,,J Clark,JPM,John Murray,,shaft/ wheel/ pin/ speed,,,adjust,regulating,
Bind at loader,Freed the bind but action is not smooth -May need Eng rework,,,,,,AIM 06,Y,5/2/16,,5/2/16,,Maina,SA,Steve Andreozzi,,loader,,,need,,
Dip pan will not drain,Used an air hose to clear drain for operator -OPERATOR LEVEL,,,,,,H27,Y,5/2/16,,5/2/16,,J Con,AP,Anthony Paolillo,,operator/ air/ hose,,,clear,level/ used,
Accumulator check requested,Was at 30bar -No issue,accumulator,check ,no_problem_detected,,,H31,Y,5/2/16,,5/2/16,,Russ,AP,Anthony Paolillo,,accumulator,30bar,issue,check/ request,,
Broken collet in collet housing #1,Removed housing and broken collet. Cleaned and reset clamping mechanism,,,,,,H8,Y,5/2/16,,5/2/16,,Russ,ML,Marcel Lefebvre,,clamp/ collet/ housing,,broken,remove/ clean/ reset,,
Electrical box on gusher pump at chiller unit broken,Repaired,,,repair,,,I19,N,5/2/16,,5/2/16,,Norm,JC,Jon Cousineau,,unit/ pump/ electrical/ box,,broken,repair,,
Alarm -Cylinder chucking pressure left by itself,Replaced chucking pressure valve with used valve but could not adjust pressure. Swapped A to B and B to A -machine ran,,,,,,I2,Y,5/2/16,,5/2/16,,Sam Jett,SA,Steve Andreozzi,,valve/ machine/ pressure/ cylinder,,alarm,replace/ adjust/ swap,used/ left/ run,
Drive faults,Replaced LT module on Sp#4,,,,,,I6,Y,5/2/16,,5/2/16,,J Con,JC,Jon Cousineau,,spindle/ module,,fault,replace,drive,
St#6 Vertical motor loose,Gear box separating -Replaced with new GRM / Mill head replaced the next day 5/3,,,,,,H15,Y,5/2/16,,5/3/16,,Russ,JPM,John Murray,,station/ motor/ head/ gear/ vertical/ box,,loose,replace,new,
St#10 spindle bearings bad,Swapped 35/60 with rebuilt unit on shelf,,,,,,H22,S/U,5/2/16,,5/3/16,,Bob B,AP,Anthony Paolillo,,station/ unit/ spindle/ bearing/ shelf,,broken,rebuild/ swap,10/ 35/ 60,
Bad gear on saw unit,Swing shaft gear OK -Saw head swapped due to bearing wear,gear/ saw_unit/ saw/ bearing,broken/ worn,swap,saw_head,,H39,N,5/2/16,,5/3/16,,Gio,JPM,John Murray,,unit/ bearing/ head/ saw/ shaft/ gear,,broken,ok/ swap,,
Breaker for motor overtemp tripping,Short in motor temp switch wiring. Difficulty pulling wire from counduit. Replaced wiring and conduit,,,,,,Sinico,Y,5/2/16,,5/3/16,,J Con,DK,Denis Kusiak,,motor/ breaker/ wire,trip,trip/ short,replace,switch,
Chucking cyclinder pressure alarms,Swapped solenoid valves A to B / B to A,,,,,,I2,N,5/2/16,,5/4/16,,J Con,SA,Steve Andreozzi,,valve/ pressure/ solenoid/ cylinder,,alarm,swap,,
Will not start,Magnetic interlock! Magnet part of lid is missing. Fabricated new magnetic trigger and mounted to lid,,will_not_start,,,,Buehler Saw,Y,5/2/16,,5/13/16,,Mike C,JC,Jon Cousineau,,interlock,,missing,,new/ start,
Power outlet on table cracked,Replaced,power_outlet,broken,replace,power_outlet,,H27,,5/3/16,,5/3/16,,Sam Jett,SA,Steve Andreozzi,,table,,,replace,power,
Straddle mill cutter needs screws removed,Sectioned the tool holder to access damaged screws -Aligned each section and replaced M6 C'Sink screws,staddle_mill_cutter/ mill/ screw,remove,replace,screw,,H8,N,5/3/16,,5/3/16,,Russ,JPG,Jerry,,screw/ tool/ holder,,broken,replace/ remove/ need/ align,,
Table reported to have indexed without operator selecting it to do so,Found the table to be drifting -Table indexing valve replaced 6/1 by anthony,table,auto_index,replace,index_valve,,H32,N,5/3/16,,5/4/16,,Sam Jett,JPM,John Murray,,valve/ table/ operator/ index,,,replace/ report,,
P/O spindle reported running out causing eccentric ID chamfer,P/O spindle removed and rebuilt -bearings and critical internal components replaced,,,,,,A75,Y,5/3/16,,5/5/16,,Jorge,DK,Denis Kusiak,,spindle/ bearing/ chamfer,,,replace/ remove/ rebuild/ report,running,causing
Broken screws on loader tray -opers slamming bars,Replaced broken screws for bar loader tray.,screw,broken,replace,screw,,H5,N,5/3/16,,5/5/16,,Russ,SA,Steve Andreozzi,,screw/ loader,,broken,replace,bar,
Remove old load table / Bolt pedestal,Completed,load_table/ bolt_pedestal,remove,complete,,,H12,,5/3/16,,5/6/16,,John A,AP,Anthony Paolillo,,table/ bolt,,,remove/ complete,load,
Unloader horizontal fault,Reset unload station and cycled power,,,,,,H17,Y,5/4/16,,5/4/16,,Bruce,JPM,John Murray,,station,,fault,reset,power/ cycle,
No Power / Machine will not start,Repair broken output card,,,,,,H2,Y,5/4/16,,5/4/16,,Bruce,JPM,John Murray,,machine,,broken,repair,power/ start,
Loader INOP,Cancelled -Sackda repaired and was running,,,,,,H20,Y,5/4/16,,5/4/16,,Norm,SA,Steve Andreozzi,,loader,,inoperable,repair,running,
St#4 bearing check,Replaced spindle with inventory unit,,,,,,H31,N,5/4/16,,5/4/16,,RES,AP,Anthony Paolillo,,station/ unit/ spindle/ bearing/ inventory,,,replace/ check,,
Accumulator check requested,OK at 30bar,accumulator/ low_pressure,check ,no_problem_found,accumulator,,H39,Y,5/4/16,,5/4/16,,Russ,SA,Steve Andreozzi,,accumulator,30bar,,check/ request/ ok,,
Workzone light INOP,Installed new lihghting fixture,workzone_light/ light,inoperable,,,,SC1,N,5/4/16,,5/4/16,,Steve S,SA,Steve Andreozzi,,light,,inoperable,install,new,
Accumulator check requested,Both accumulators at 25bar -charged to 30bar,accumulator/ low_pressure,check/ low,charge,accumulator/ low_pressure,,H11,N,5/5/16,,5/5/16,,Bob,AP,Anthony Paolillo,,accumulator,30bar,,check/ request/ charge,25bar,
Broken feeder chain,Repaired,feeder/ chain,broken,repair,feeder/ chain,,H14,Y,5/5/16,,5/5/16,,Russ,AP,Anthony Paolillo,,chain/ feeder,,broken,repair,,
St#6 Vertical mill motor / pulley worn,Re keyed pulley and hub -Was too small,,,,,,H15,Y,5/5/16,,5/5/16,,Russ,JPM,John Murray,,station/ motor/ pulley/ vertical/ hub,,worn,,,
Loader will not stay lined up. Excessive play.,Pivot shaft is broken. Couldn’t locate replacement parts. (Made in house) Operator running as is until parts are available,,,,,,H20,N,5/5/16,,5/5/16,,Norm,SA,Steve Andreozzi,,operator/ loader/ part/ shaft/ replacement,,broken,,running/ play/ excessive,
Bar change occurring at the wrong time,Replaced HS counter,bar_change,out_of_adjustment/ timing,replace,high_speed_counter,,H34,N,5/5/16,,5/5/16,,Alex,JPM,John Murray,,counter,,,replace,bar/ change/ time,
Bar loader will not go inreverse,Feed pressure set too low -Operator level,bar_loader/ feed_pressure,will_not_move/ low,train,operator,,H5,Y,5/5/16,,5/5/16,,Russ,AP,Anthony Paolillo,,operator/ loader/ pressure,,,set,bar/ feed/ level/ low,
Replaced front side door interlock,Installed,,,install,,,SC1,N,5/5/16,,5/5/16,,JPG,MLW,Mike Lowell,,door/ interlock,,,replace/ install,,
Side A door lock key bent,Key replaced -damaged because it was loose and operator(s) kept smashing door into interlock,,,,,,I1,N,5/5/16,,5/6/16,,Bruce,JC,Jon Cousineau,,operator/ door/ interlock/ key,,broken/ loose,replace,lock,
Workzone light INOP,Replaced light fixture,workzone_light/ light,inoperable,,,,SC6,N,5/5/16,,5/6/16,,Steve S,SA,Steve Andreozzi,,light,,inoperable,replace,,
Iemca track #2 belt NO GOOD -Stirpped sections,Belt replaced,,,,,,I18,N,5/5/16,,5/9/16,,Norm,JC,Jon Cousineau,,iemca/ belt,,strip,replace,track,
Chip conveyor INOP,Cleared jam,chip_conveyor/ conveyor,inoperable,clear,jam,,H38,Y,5/6/16,,5/6/16,,Alex,SA,Steve Andreozzi,,conveyor/ chip,,inoperable/ jam,clear,,
Hydraulic leak St#8,Replaced Broken Hydraulic hose,hydraulic/ st_8,leak/ broken,replace,hose/ hydraulic,,H5,Y,5/6/16,,5/6/16,,Russ,JPM,John Murray,,station/ hydraulic/ hose,,broken/ leak,replace,,
St#5 bearings check requested,Spindle removed due to being crushed by overtightened flange -Replaced,,,,,,H2,N,5/6/16,,5/7/16,,Gio,JPM,John Murray,,station/ spindle/ bearing/ flange,,,replace/ remove/ check/ request,,
Waer guard broken / Feed tube jammed at index,Removed and replaced spindle tube/ feed tube/ and wear plate,,,,,,A76,Y,5/6/16,,5/9/16,,Jorge,MLW,Mike Lowell,,spindle/ index/ plate/ tube/ guard/ water,,broken/ jam,replace/ remove,feed,
O/T faults,St#2 Cross drill siezed and burned motor -Replaced XC head and motor,,,,,,H19,Y,5/7/16,,5/7/16,,Bruce,JPM,John Murray,,station/ motor/ head/ drill/ cross,,fault/ seize,replace,,
Hydraulic leak,Repaired hose connection at cutoff unit,hydraulic,leak,repair,hose/ connection/ cutoff_unit,,H38,Y,5/7/16,,5/7/16,,Bruce,JPM,John Murray,,unit/ hydraulic/ hose/ connector,,leak,repair,,
Cannot adjust regulating wheel speed,Freed stuck pulley,,,,,,CG231,Y,5/8/16,,5/8/16,,J Clark,MLW,Mike Lowell,,wheel/ pulley/ speed,,stuck,adjust,regulating,
Broken wire St 6b,Repaired broken wire on linear potentiometer Sta. 6B,,,,,,AIM 05,Y,5/9/16,,5/9/16,,Maina,SA,Steve Andreozzi,,station/ wire,,broken,repair,,
#5 Not enough stroke for XD / #6 Rotating backwords / #8 Spindle hot,#5 Spindle adjusted / #6 Current polarity swapped at plug in / #8 Belt TOO tight and adjusted,,,,,,H12,Y,5/9/16,,5/9/16,,RES,JPM / AP,John Murray/ Anthony Paolillo,,spindle/ belt/ cross_drill/ stroke,,,adjust/ swap,plug/ hot,
St#11 quill nut loose,Spindle found to have worn bearings -Rebuilt,,,,,,H23,Y,5/9/16,,5/9/16,,Russ,JPM,John Murray,,station/ spindle/ bearing/ nut,,loose/ worn,rebuild,11,
Vogel lube faults.,Replaced controller board of Vogel unit,,,,,,H34,N,5/9/16,,5/9/16,,,SA,Steve Andreozzi,,unit/ vogel/ lubrication/ controller,lubrication,fault,replace,,
New splash cover needed,Completed,,,complete,,,H38,N,5/9/16,,5/9/16,,Gerry,AP,Anthony Paolillo,,cover,,,complete/ need,new,
24 VDC short. Trips circuit breaker line 4131,"Traced short to input I:2/04. “Meter part release” sensor. Replaced sensor. Short was gone but escapement not working correctly. Sensor I:2/05 
 “Meter hold part” on all the time. Replaced sensor. At this point the machine would load 1 part and the pick and place would lower and the machine would stop.
 Sensor I:1/08 “Pick and place lowered” not coming on. Replaced connector on cable. Machine ran. Returned machine to production at this point.",,,,,,Tsch 1,Y,5/9/16,,5/9/16,,J Clark,SA,Steve Andreozzi,,sensor/ machine/ cable/ breaker/ line/ connector,,short,replace/ return,load/ stop/ pick/ time/ working/ run,
Leaking ball valve at FPI,Replaced leaking ball valve at water supply -Missing ORing,,,,,,FPI,N,5/9/16,,5/10/16,,JPG,SA,Steve Andreozzi,,valve/ ball/ water,,leak/ missing,replace,,
