Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
5/5/16,,H20,,,Loader will not stay lined up. Excessive play.,Pivot shaft is broken. Couldn t locate replacement parts. (Made in house) Operator running as is until parts are available,"operator, loader, part, shaft, replacement",,broken,,"running, play, excessive",
5/5/16,,H34,,,Bar change occurring at the wrong time,Replaced HS counter,counter,,,replace,"bar, change, time",
5/5/16,,H5,,,Bar loader will not go inreverse,Feed pressure set too low; Operator level,"operator, loader, pressure",,,set,"bar, feed, level, low",
5/5/16,,I1,,,Side A door lock key bent,Key replaced; damaged because it was loose and operator(s) kept smashing door into interlock,"operator, door, interlock, key",,"broken, loose",replace,lock,
5/5/16,,I18,,,Iemca track #2 belt NO GOOD; Stirpped sections,Belt replaced         ,"iemca, belt",,strip,replace,track,
5/5/16,,SC1,,,Replaced front side door interlock,Installed,"door, interlock",,,"replace, install",,
5/5/16,,SC6,,,Workzone light INOP,Replaced light fixture,light,,inoperable,replace,,
5/6/16,,A76,,,Waer guard broken / Feed tube jammed at index,"Removed and replaced spindle tube, feed tube, and wear plate","spindle, index, plate, tube, guard, water",,"broken, jam","replace, remove",feed,
5/6/16,,H2,,,St#5 bearings check requested,Spindle removed due to being crushed by overtightened flange; Replaced,"station, spindle, bearing, flange",,,"replace, remove, check, request",,
5/6/16,,H38,,,Chip conveyor INOP,Cleared jam,"conveyor, chip",,"inoperable, jam",clear,,
5/6/16,,H5,,,Hydraulic leak St#8,Replaced Broken Hydraulic hose,"station, hydraulic, hose",,"broken, leak",replace,,
5/7/16,,H19,,,O/T faults,St#2 Cross drill siezed and burned motor; Replaced XC head and motor,"station, motor, head, drill, cross",,"fault, seize",replace,,
5/7/16,,H38,,,Hydraulic leak ,Repaired hose connection at cutoff unit,"unit, hydraulic, hose, connector",,leak,repair,,
5/8/16,,CG231,,,Cannot adjust regulating wheel speed,Freed stuck pulley,"wheel, pulley, speed",,stuck,adjust,regulating,
5/9/16,,AIM 05,,,Broken wire St 6b,Repaired broken wire on linear potentiometer Sta. 6B,"station, wire",,broken,repair,,
5/9/16,,FPI,,,Leaking ball valve at FPI,Replaced leaking ball valve at water supply; Missing ORing,"valve, ball, water",,"leak, missing",replace,,
5/9/16,,H12,,,#5 Not enough stroke for XD / #6 Rotating backwords / #8 Spindle hot,#5 Spindle adjusted / #6 Current polarity swapped at plug in / #8 Belt TOO tight and adjusted,"spindle, belt, cross_drill, stroke",,,"adjust, swap","plug, hot",
5/9/16,,H23,,,St#11 quill nut loose,Spindle found to have worn bearings; Rebuilt,"station, spindle, bearing, nut",,"loose, worn",rebuild,11,
5/9/16,,H34,,,Vogel lube faults. ,Replaced controller board of Vogel unit,"unit, vogel, lubrication, controller",lubrication,fault,replace,,
5/9/16,,H38,,,New splash cover needed,Completed,cover,,,"complete, need",new,
5/9/16,,I19,,,Bar facing travel sensor failure,Replaced frayed cable,"sensor, cable",,failure,replace,"bar, travel, facing",
5/9/16,,Reid Grind,,,Hydraulic control swith NOK,Installed contact renewal kit for Hydraulic motor starter,"motor, hydraulic, starter",,broken,install,"switch, control",
5/9/16,,SC1,,,Hydraulic pump overload,Motor temp alarm tripping breaker (No Hyd Fault) Replaced main spindle motor due to cooling fan failure,"motor, spindle, hydraulic, pump, breaker, fan",trip,"fault, alarm, overload, failure, trip",replace,"main, cooling",
5/9/16,,T105,,,Main Tool Slide rolls loose,Replaced rolls and posts; Rotated roll guide,"tool, slide, guide",,loose,replace,"main, roll",
5/9/16,,Tsch 1,,,24 VDC short. Trips circuit breaker line 4131,"Traced short to input I:2/04.  Meter part release  sensor. Replaced sensor. Short was gone but escapement not working correctly. Sensor I:2/05 
 Meter hold part  on all the time. Replaced sensor. At this point the machine would load 1 part and the pick and place would lower and the machine would stop.
Sensor I:1/08  Pick and place lowered  not coming on. Replaced connector on cable. Machine ran. Returned machine to production at this point.
","sensor, machine, cable, breaker, line, connector",,short,"replace, return","load, stop, pick, time, working, run",
5/10/16,,AIM 03,,,Loader issues reported,"Adjusted position sensor on right side, adjusted centering cylinder and adjusted stop for horizontal pick and place cylinder. Adjusted feed track assist air flow. Machine crashed again at end of shift.","sensor, machine, loader, air, flow, position, cylinder",,issue,"adjust, report","feed, track, end, stop, pick, shift",
5/10/16,,H2,,,Accumulator check requested,Found at 30bar; No Issue,accumulator,30bar,issue,"check, request",,
5/10/16,,H22,,,Valve connections swapped on 3rd shift; Lines crosses,Shifted valve location (4 5 3) to eliminate possible wrong valve shut off. Now (5 4 3),"valve, connector, cross",,,swap,"shut, shift",
5/10/16,,H24,,,St#8 spindle bearings worn; Confirmed ML,Replaced front end (26/80) bearings,"station, spindle, bearing",,worn,replace,"end, 26, 80",
5/10/16,,H30,,,Vogel tank leak,Relaced fitting on Vogel pump,"pump, vogel, fitting, tank",,leak,replace,,
5/11/16,,Anca,,,Replace oil and air filters,Completed,"air, oil, filter",,,"replace, complete",,
5/11/16,,FPI,,,Blower making loud noise,Flange bearing failure; Bearings ordered and installed ,"bearing, flange",,"failure, noise","install, order",,
5/11/16,,H15,,,St#12 CNC unit hydraulic pressure fluttering,Replaced hydraulic filter on CNC unit,"station, unit, hydraulic, pressure, filter, cnc",,,replace,12,
5/11/16,,H20,,,St2 prox did not go low alarm,Replaced emergency retract solenoid and fuse,"prox, fuse, solenoid, st_2",,alarm,replace,low,
5/11/16,,H25,,,Bar change ocurring at the wrong time,Replaced HS counter and ran a learn mode,counter,,,replace,"bar, change, time, run",
5/11/16,,H29,,,Check spindle bearings St#10,Replaced bearing in 35/60 spindle,"station, spindle, bearing",,,"replace, check","10, 35, 60",
5/11/16,,H8,,,Saw unit INOP,Reset parameters to run in Auto,"unit, saw",,inoperable,reset,"running, auto",
5/11/16,,I2,,,Chucking cyclinder pressure alarms,Replaced collet close pressure switch Side A,"pressure, collet, cylinder",,alarm,replace,"switch, close",
5/11/16,,I4,,,Drive fault; A5 Speed controller against stop,Machine would fault when both A and B spindles where at soft limit. Proved it out by adding a delay between spindles and having only one spindle on a soft limit at a time. ,"spindle, machine, speed, controller",,fault,,"drive, stop, limit, time",
5/12/16,,FPI,,,Rinse tank Gould pump leak,Replaced mechanical seal and flange gasket,"pump, tank, flange",,leak,replace,seal,
5/12/16,,H23,,,Coolant pump motor contactor overload,Reset contactor afetr clearing bind at Mag fines filter; Scraper missing!! ,"motor, coolant, pump, filter, contactor, scraper",,"overload, missing",reset,,
5/12/16,,H30,,,Bar loading issues,Adjusted loader speed and settings,"loader, speed",,issue,adjust,"bar, load",
5/12/16,,I18,,,Spindles 1 and 4 OFF for bar Clamp faults,Found spindles 2 and 4 OFF;  Added hydraulic fluid and turned back ON; No issues reported (Posted 5/17),"spindle, hydraulic, clamp",,"fault, issue","report, add","bar, turned",
5/12/16,,I3,,,Loader ram INOP,Replaced Numatics solenoid valve for loading actuator,"valve, loader, solenoid, actuator",,inoperable,replace,load,
5/12/16,,RM226,,,Regulating wheel INOP,Cleaned VSD; Very dirty and sticky,wheel,,inoperable,clean,regulating,
5/13/16,,AIM 03,,,Loader not ready alarm,Adjusted shuttle height and lined up loader,loader,,alarm,adjust,ready,
5/13/16,,AIM 04,,,Loader issues,Loader will not go to the right side. Adjusted centering cylinder flow control,"loader, flow, cylinder",,issue,adjust,control,
5/13/16,,H4,,,Bar change faults; Bar end too long hitting (spindle head ??????),Accumulator found at 20bar and charged to 30bar; No issue reported since (Posted 5/19),"spindle, accumulator, head",30bar,"fault, issue","charge, report","bar, end, change, 20bar",
5/13/16,,H7,,,Coolant flow low,Replaced impellor and housing on pump but still low; Found filter canister strainers missing. Filter bags being sucked into coolant pipe,"coolant, pump, filter, flow, housing",,missing,replace,low,
5/13/16,,H8,,,St#11 motor hub worn,Replaced along with back end spindle drive and bearings,"station, motor, spindle, bearing, hub",,worn,replace,"drive, 11, end",
5/13/16,,I18,,,Iemca will not load in AUTO,Replaced encoder,"iemca, encoder",,,replace,"load, auto",
5/13/16,,TK3,,,Coolant punp INOP,"Promed filter, replaced worn fitting and hose","coolant, pump, hose, filter, fitting",,"inoperable, worn",replace,,
5/13/16,,Tsch 1,,,Heavy vibration from regulating wheel spindle,Adjusted Velocity Gain from 1200 to 900,"spindle, wheel",,,adjust,regulating,
5/14/16,,H15,,,St#6 Vertical will not complete cycle,Motor Hub and Pulley damaged by keyway torque; Replaced both but machine failed again.,"station, motor, machine, pulley, vertical, hub",,"broken, failure","replace, complete",cycle,
5/14/16,,I1,,,Controller screen broken; Looks to have been punched,Antistatic polycarbonite ordered ($40 MCM) cut and installed,"controller, screen",,broken,"install, order",cut,
5/14/16,,TK3,,,Reported loader issues,"Loader referrenced out of sequence; corrected but machine cycles once and faults with Z axis alarm. Yamazen tech called, arrived on 5/19 at 1230. Found the turret carrier contacting a wiring bundle and stripped the insulation shorting the Z axis travel. Wiring repaired and bundle secured.","machine, loader, turret, axis, wire",,"fault, alarm, issue, strip, short","repair, report, correct","cycle, travel",
5/16/16,,Deco 1,,,Blown airline,Plug unused airline at solenoid,solenoid,air_line,blown,,plug,
5/16/16,,H7,,,Inverter on 1st side INOP,"Added 2nd accumulator, replaced seals in invert valve, swapped invert valve with H11 ; Valve removed to be rebuilt","valve, accumulator, inverter",,inoperable,"replace, remove, rebuild, swap, add",seal,
5/16/16,,I1,,,Chip conveyor jammed,Unjammed chip converyor,"conveyor, chip",,jam,,,
5/16/16,,I1,,,Turret 3 coolant flow weak,Removed and cleaned turret; reset and aligned,"coolant, turret, flow",,,"remove, clean, reset, align",,
5/16/16,,I2,,,Turret not locking,Replaced turret position sensor,"sensor, turret, position",,,replace,locking,
5/16/16,,I5,,,Blown airline at rear of Iemca; Won t load in Auto,Replaced airline,"iemca, rear",air_line,blown,replace,"load, auto, won",
5/16/16,,Sinico,,,"Hydraulic solenoid valve in pump area, smoking",Solenoid connectors hot and melted; Replaced whole Rexroth valve,"valve, hydraulic, pump, connector, solenoid",,,replace,hot,
5/17/16,,H20,,,ST2 low fault,JPM replaced table index valve coil / ML replaced connection cable and returned to replaced St#10 spindle valve,"station, spindle, valve, table, cable, index, connector, coil, person, st_2",,fault,"replace, return","low, 10",
5/17/16,,H23,,,Coolant/Contactor overload fault,"Magnetic fines scraper tripped overload. Unit was removed and wiring jumped out to keep machine running. Scraper plate repaired, new wiring and protective conduit installed","unit, coolant, machine, contactor, wire, plate, scraper",trip,"fault, overload, trip","repair, remove, install","new, running",
5/17/16,,H3,,,St#11 bearings reported worn,Replaced bearings set at front end of spindle Completed by 0815,"station, spindle, bearing",,worn,"replace, complete, report, set","11, end",
5/17/16,,I17,,,Air leak behind collets,Replaced airline,"air, collet",air_line,leak,replace,,
5/18/16,,H11,,,Inverter failing to push part back into collet,Reducing orifice added to  push rod in  cycle,"inverter, collet, rod",,fail,add,"cycle, push",
5/18/16,,H15,,,St#6 vertical jammed again,Freed cutter jammed in part / Replaced drive belt / Confirmed mill head OK / (Bob) adjusted rapid approach to ensure proper position before cutting,"station, head, belt, position, vertical",,jam,"replace, adjust, ok","drive, cutting",
5/18/16,,H34,,,St#5 brush unit stuck forward;  motor not spinning,Unjammed spindle / Replaced severely worn pulley / Belt too tight! ,"station, unit, motor, spindle, belt, brush, pulley",,"worn, stuck",replace,forward,
5/18/16,,RM 222,,,Switch replacement,Replaced broken ON/OFF Hydraulics switch,"hydraulic, replacement",,broken,replace,switch,
5/18/16,,SC2,,,Feed belt worn,Replaced,belt,,worn,replace,feed,
5/18/16,,Sinico,,,Bar end exit chute needs repair,Removed chhips from Jaw #1; No chute issue,"chip, chute",,issue,"repair, remove, need","bar, end",
5/18/16,,Sinico,,,Hydraulic leak at clamp jaw set,"Denis removed jaw block for rebuild; Seals, Pistons, and Rings replaced.;  Steve installed","hydraulic, clamp, steve, piston, ring",,leak,"replace, remove, install, rebuild, set","seal, block",
5/19/16,,A76,,,Pick off collet open/close switch NOK,Air line fell off due to dry rot; Cut line back and reattached,"air, line, collet",,broken,,"switch, open, cut, pick, close",
5/19/16,,H1,,,Loading block pivot shaft broken,Replaced,shaft,,broken,replace,"load, block",
5/19/16,,H14,,,St#9 GRM reported as possibly failing,No Issue; GRM Good,station,,"issue, fail",report,,
5/19/16,,H27,,,Excessive hydraulic consumption,Indexing valve rebuilt,"valve, hydraulic, index",,,rebuild,excessive,
5/19/16,,H28,,,Screw on pusher dog falling out,Replaced both pusher dogs and pusher holders,"screw, pusher, dog, holder",fall,,replace,fall,
5/19/16,,H4,,,Bearings check St#10 (Chatter),Bearings worn; Replaced,"station, bearing",,worn,"replace, check",10,
5/20/16,,H39,,,Accumulator check requested,At 30bar; No Issue,accumulator,30bar,issue,"check, request",,
5/20/16,,I18,,,Iemca track #6 broken; Spindle OFF,Track replaced,"spindle, iemca",,broken,replace,track,
5/20/16,,RM 222,,,Dresser feed piston leaking hydraulic fluid,Replaced with rebuilt unit,"unit, hydraulic, piston",,leak,"replace, rebuild",feed,
5/23/16,,A69,,,6th Position slide variation,Cam Roll block assembly replaced 5/25;  T bolt modified 5/31; -Online,"position, slide, bolt",,,replace,"online, block, roll",
5/23/16,,H32,,,Broken feeder chain,Repaired,"chain, feeder",,broken,repair,,
5/23/16,,I20,,,Parts receiver and offload chute in need of repair,Multiple adjustments made to both,"part, offload, chute",,,"repair, adjust, need",,multiple
5/23/16,,I4,,,Side B collet will not open,Activated  Workpiece clamping  in controller,"clamp, collet, controller",,,,open,
5/23/16,,TK3,,,Workzone light INOP,Replaced bulb,light,,inoperable,replace,,
5/24/16,,A76,,,Center shaft loud,Replaced drive gears on shaft; Multiple teeth missing,"shaft, gear",,missing,replace,drive,multiple
5/24/16,,H25,,,Utility O/T faults,Adjusted piston sensor on brushing unit,"unit, sensor, brush, piston",,fault,adjust,,
5/24/16,,H26,,,CNC HSK Clamp screw stripped,Removed stripped screw and replaced clamp,"screw, clamp, cnc",,strip,"replace, remove",hsk,
5/24/16,,H33,,,Bar feeder chain broken,Repaired,"chain, feeder",,broken,repair,bar,
5/24/16,,I18,,,Hydraulic leak at back end of channel carrier,Replaced ruptured Hyd hose 23A,"hydraulic, hose, channel",,"leak, rupture",replace,end,
5/24/16,,SC3,,,Milling clutch faults,Replaced clutch control relay ,"clutch, relay, mill",,fault,replace,control,
5/25/16,,A77,,,Power loss,Bad contactor coil; Borrowed from A75 while waiting for new A/B 120v 60cycle,"contactor, coil",,broken,,"new, power",
